Dataset,Software,Class,Depth Cutoff,Average Accuracy < Depth,Match < Depth,Total < Depth,Average Accuracy >= Depth,Match >= Depth,Total >= Depth
hgsvc2_clr,HLA*LA,Class I Genes,5,,0,0,0.14473684210526314,33,228
hgsvc2_clr,HLA*LA,Class I Pseudogenes,5,0.21428571428571427,3,14,0.15773809523809523,11,76
hgsvc2_clr,HLA*LA,Class II Genes,5,,0,0,0.17763157894736842,54,252
hgsvc2_clr,HLA*LA,Non-HLA Genes,5,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class I Genes,5,,0,0,0.9649122807017543,110,114
hgsvc2_clr,SpecHLA,Class I Pseudogenes,5,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class II Genes,5,,0,0,0.7897660818713451,147,186
hgsvc2_clr,SpecHLA,Non-HLA Genes,5,,0,0,,0,0
hgsvc2_clr,SpecLong,Class I Genes,5,,0,0,0.9912280701754387,226,228
hgsvc2_clr,SpecLong,Class I Pseudogenes,5,0.8728991596638656,83,96,0.9421801284839563,262,272
hgsvc2_clr,SpecLong,Class II Genes,5,,0,0,0.9295880632954936,508,546
hgsvc2_clr,SpecLong,Non-HLA Genes,5,,0,0,0.8461257309941521,121,144
hgsvc2_clr,HLA*LA,Class I Genes,10,,0,0,0.14473684210526314,33,228
hgsvc2_clr,HLA*LA,Class I Pseudogenes,10,0.17857142857142858,5,28,0.2619047619047619,9,62
hgsvc2_clr,HLA*LA,Class II Genes,10,,0,0,0.17763157894736842,54,252
hgsvc2_clr,HLA*LA,Non-HLA Genes,10,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class I Genes,10,,0,0,0.9649122807017543,110,114
hgsvc2_clr,SpecHLA,Class I Pseudogenes,10,,0,0,,0,0
hgsvc2_clr,SpecHLA,Class II Genes,10,,0,0,0.7897660818713451,147,186
hgsvc2_clr,SpecHLA,Non-HLA Genes,10,,0,0,,0,0
hgsvc2_clr,SpecLong,Class I Genes,10,,0,0,0.9912280701754387,226,228
hgsvc2_clr,SpecLong,Class I Pseudogenes,10,0.8740601503759398,104,118,0.9084979348137243,241,250
