url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861391/HG00732-hifi-r54329U_20190607_183639-E01.bam	996e75d7b6cbf21c379cae28b5d22ecc	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00732	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR384/ERR3840017/HG00731-hifi-r54329U_20190528_230410-A01.bam	979657f1edbc55470534d35fde19d6cc	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00731	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR384/ERR3840019/HG00731-hifi-r54329U_20190531_173856-B01.bam	8687d7312acbff2ebc9a98a187328e01	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00731	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861384/HG00733-hifi-r54329U_20190617_231034-B01.bam	7e6c382e5a895ff1257d2fddebd38507	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00733	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR498/ERR4982329/HG00514-hifi-r54329U_20200717_234302-B01.bam	20eab0f9d7517feaf77e5690cc9a8368	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00514	Han Chinese South	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR496/ERR4968412/NA19240_20191002_CLEE_m54336U_190828_075428.ccs.bam	ead64a273e15a44815bb3c0f2d450b99	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	NA19240	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861392/HG00732-hifi-r54329U_20190703_201135-C01.bam	1dcc9c4929a8346561f03da434782a84	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00732	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR384/ERR3840020/HG00731-hifi-r54329U_20190604_223930-B01.bam	61b3fbf8ae1874a6a726de5049ce4333	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00731	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR386/ERR3861385/HG00733-hifi-r54329U_20190617_231034-A01.bam	6db462761dec4414201b985189589616	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00733	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR498/ERR4987503/HG00732-hifi-r54329U_20200528_195409-A01.bam	4aa071b576175f31510cf063b6481733	Human Genome Structural Variation Consortium, Phase 2	sequence	PacBio HiFi	HG00732	Puerto Rican in Puerto Rico	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2/README_HGSVC2_datareuse_statement.md
