gene,correct,total,accuracy,class,subclass,cutoff,resolution
KIR2DL1,8,8,1.0,KIR,KIR2,0,3
KIR2DL3,4,4,1.0,KIR,KIR2,0,3
KIR2DL4,13,14,0.929,KIR,KIR2,0,3
KIR2DP1,6,6,1.0,KIR,KIR2,0,3
KIR2DS4,5,6,0.833,KIR,KIR2,0,3
KIR3DL1,6,6,1.0,KIR,KIR3,0,3
KIR3DL2,10,12,0.833,KIR,KIR3,0,3
KIR3DL3,11,12,0.917,KIR,KIR3,0,3
KIR3DP1,9,10,0.9,KIR,KIR3,0,3
KIR2DL1,8,8,1.0,KIR,KIR2,5,3
KIR2DL3,4,4,1.0,KIR,KIR2,5,3
KIR2DL4,13,14,0.929,KIR,KIR2,5,3
KIR2DP1,6,6,1.0,KIR,KIR2,5,3
KIR2DS4,5,6,0.833,KIR,KIR2,5,3
KIR3DL1,6,6,1.0,KIR,KIR3,5,3
KIR3DL2,10,12,0.833,KIR,KIR3,5,3
KIR3DL3,11,12,0.917,KIR,KIR3,5,3
KIR3DP1,9,10,0.9,KIR,KIR3,5,3
KIR2DL1,8,8,1.0,KIR,KIR2,10,3
KIR2DL3,4,4,1.0,KIR,KIR2,10,3
KIR2DL4,13,14,0.929,KIR,KIR2,10,3
KIR2DP1,6,6,1.0,KIR,KIR2,10,3
KIR2DS4,5,6,0.833,KIR,KIR2,10,3
KIR3DL1,6,6,1.0,KIR,KIR3,10,3
KIR3DL2,10,12,0.833,KIR,KIR3,10,3
KIR3DL3,11,12,0.917,KIR,KIR3,10,3
KIR3DP1,7,8,0.875,KIR,KIR3,10,3
KIR2DL1,8,8,1.0,KIR,KIR2,15,3
KIR2DL3,4,4,1.0,KIR,KIR2,15,3
KIR2DL4,13,14,0.929,KIR,KIR2,15,3
KIR2DP1,6,6,1.0,KIR,KIR2,15,3
KIR2DS4,5,6,0.833,KIR,KIR2,15,3
KIR3DL1,6,6,1.0,KIR,KIR3,15,3
KIR3DL2,10,12,0.833,KIR,KIR3,15,3
KIR3DL3,11,12,0.917,KIR,KIR3,15,3
KIR3DP1,3,4,0.75,KIR,KIR3,15,3
KIR2DL1,8,8,1.0,KIR,KIR2,20,3
KIR2DL3,4,4,1.0,KIR,KIR2,20,3
KIR2DL4,13,14,0.929,KIR,KIR2,20,3
KIR2DP1,6,6,1.0,KIR,KIR2,20,3
KIR2DS4,5,6,0.833,KIR,KIR2,20,3
KIR3DL1,6,6,1.0,KIR,KIR3,20,3
KIR3DL2,10,12,0.833,KIR,KIR3,20,3
KIR3DL3,11,12,0.917,KIR,KIR3,20,3
