gene,count,subclass,cutoff,resolution,type
KIR2DL1,8,KIR2,0,1,correct
KIR2DL1,8,KIR2,0,1,total
KIR2DL2,0,KIR2,0,1,correct
KIR2DL2,0,KIR2,0,1,total
KIR2DL3,4,KIR2,0,1,correct
KIR2DL3,4,KIR2,0,1,total
KIR2DL4,13,KIR2,0,1,correct
KIR2DL4,14,KIR2,0,1,total
KIR2DL5A,0,KIR2,0,1,correct
KIR2DL5A,0,KIR2,0,1,total
KIR2DL5B,0,KIR2,0,1,correct
KIR2DL5B,0,KIR2,0,1,total
KIR2DP1,6,KIR2,0,1,correct
KIR2DP1,6,KIR2,0,1,total
KIR2DS1,0,KIR2,0,1,correct
KIR2DS1,0,KIR2,0,1,total
KIR2DS2,0,KIR2,0,1,correct
KIR2DS2,0,KIR2,0,1,total
KIR2DS3,0,KIR2,0,1,correct
KIR2DS3,0,KIR2,0,1,total
KIR2DS4,5,KIR2,0,1,correct
KIR2DS4,6,KIR2,0,1,total
KIR2DS5,0,KIR2,0,1,correct
KIR2DS5,0,KIR2,0,1,total
KIR3DL1,6,KIR3,0,1,correct
KIR3DL1,6,KIR3,0,1,total
KIR3DL2,11,KIR3,0,1,correct
KIR3DL2,12,KIR3,0,1,total
KIR3DL3,11,KIR3,0,1,correct
KIR3DL3,12,KIR3,0,1,total
KIR3DP1,10,KIR3,0,1,correct
KIR3DP1,10,KIR3,0,1,total
KIR3DS1,0,KIR3,0,1,correct
KIR3DS1,0,KIR3,0,1,total
