gene,correct,total,accuracy,class,subclass,cutoff
KIR2DL1,10,12,0.833,KIR,KIR2,0
KIR2DL3,12,12,1.0,KIR,KIR2,0
KIR2DL4,15,16,0.938,KIR,KIR2,0
KIR2DP1,14,14,1.0,KIR,KIR2,0
KIR2DS4,9,12,0.75,KIR,KIR2,0
KIR3DL1,11,14,0.786,KIR,KIR3,0
KIR3DL2,10,16,0.625,KIR,KIR3,0
KIR3DL3,16,18,0.889,KIR,KIR3,0
KIR3DP1,2,2,1.0,KIR,KIR3,0
KIR2DL1,13,18,0.722,KIR,KIR2,5
KIR2DL2,1,2,0.5,KIR,KIR2,5
KIR2DL3,14,16,0.875,KIR,KIR2,5
KIR2DL4,15,16,0.938,KIR,KIR2,5
KIR2DL5B,1,2,0.5,KIR,KIR2,5
KIR2DP1,15,16,0.938,KIR,KIR2,5
KIR2DS1,1,2,0.5,KIR,KIR2,5
KIR2DS2,1,2,0.5,KIR,KIR2,5
KIR2DS3,2,4,0.5,KIR,KIR2,5
KIR2DS4,11,18,0.611,KIR,KIR2,5
KIR3DL1,11,14,0.786,KIR,KIR3,5
KIR3DL2,11,18,0.611,KIR,KIR3,5
KIR3DL3,16,18,0.889,KIR,KIR3,5
KIR3DP1,2,2,1.0,KIR,KIR3,5
KIR2DL1,11,14,0.786,KIR,KIR2,10
KIR2DL2,1,2,0.5,KIR,KIR2,10
KIR2DL3,14,16,0.875,KIR,KIR2,10
KIR2DL4,14,14,1.0,KIR,KIR2,10
KIR2DL5B,1,2,0.5,KIR,KIR2,10
KIR2DP1,15,16,0.938,KIR,KIR2,10
KIR2DS1,1,2,0.5,KIR,KIR2,10
KIR2DS2,1,2,0.5,KIR,KIR2,10
KIR2DS4,11,18,0.611,KIR,KIR2,10
KIR3DL1,11,12,0.917,KIR,KIR3,10
KIR3DL2,11,18,0.611,KIR,KIR3,10
KIR3DL3,14,16,0.875,KIR,KIR3,10
KIR2DL1,11,14,0.786,KIR,KIR2,15
KIR2DL2,1,2,0.5,KIR,KIR2,15
KIR2DL3,11,12,0.917,KIR,KIR2,15
KIR2DL4,12,12,1.0,KIR,KIR2,15
KIR2DP1,12,12,1.0,KIR,KIR2,15
KIR2DS4,6,12,0.5,KIR,KIR2,15
KIR3DL1,11,12,0.917,KIR,KIR3,15
KIR3DL2,11,18,0.611,KIR,KIR3,15
KIR3DL3,13,14,0.929,KIR,KIR3,15
KIR2DL1,8,10,0.8,KIR,KIR2,20
KIR2DL2,1,2,0.5,KIR,KIR2,20
KIR2DL3,9,10,0.9,KIR,KIR2,20
KIR2DL4,10,10,1.0,KIR,KIR2,20
KIR2DP1,8,8,1.0,KIR,KIR2,20
KIR2DS4,5,10,0.5,KIR,KIR2,20
KIR3DL1,11,12,0.917,KIR,KIR3,20
KIR3DL2,11,18,0.611,KIR,KIR3,20
KIR3DL3,12,12,1.0,KIR,KIR3,20
