gene,count,subclass,cutoff,resolution,type
KIR2DL1,65,KIR2,0,3,correct
KIR2DL1,66,KIR2,0,3,total
KIR2DL2,4,KIR2,0,3,correct
KIR2DL2,4,KIR2,0,3,total
KIR2DL3,47,KIR2,0,3,correct
KIR2DL3,50,KIR2,0,3,total
KIR2DL4,72,KIR2,0,3,correct
KIR2DL4,76,KIR2,0,3,total
KIR2DL5A,2,KIR2,0,3,correct
KIR2DL5A,2,KIR2,0,3,total
KIR2DL5B,2,KIR2,0,3,correct
KIR2DL5B,2,KIR2,0,3,total
KIR2DP1,58,KIR2,0,3,correct
KIR2DP1,68,KIR2,0,3,total
KIR2DS1,4,KIR2,0,3,correct
KIR2DS1,4,KIR2,0,3,total
KIR2DS2,2,KIR2,0,3,correct
KIR2DS2,2,KIR2,0,3,total
KIR2DS3,2,KIR2,0,3,correct
KIR2DS3,2,KIR2,0,3,total
KIR2DS4,56,KIR2,0,3,correct
KIR2DS4,60,KIR2,0,3,total
KIR2DS5,4,KIR2,0,3,correct
KIR2DS5,4,KIR2,0,3,total
KIR3DL1,61,KIR3,0,3,correct
KIR3DL1,64,KIR3,0,3,total
KIR3DL2,68,KIR3,0,3,correct
KIR3DL2,86,KIR3,0,3,total
KIR3DL3,79,KIR3,0,3,correct
KIR3DL3,90,KIR3,0,3,total
KIR3DP1,42,KIR3,0,3,correct
KIR3DP1,52,KIR3,0,3,total
KIR3DS1,2,KIR3,0,3,correct
KIR3DS1,2,KIR3,0,3,total
