gene,correct,total,accuracy,class,subclass,cutoff,resolution
KIR2DL1,10,10,1.0,KIR,KIR2,0,1
KIR2DL4,17,18,0.944,KIR,KIR2,0,1
KIR2DL5A,1,2,0.5,KIR,KIR2,0,1
KIR2DP1,8,8,1.0,KIR,KIR2,0,1
KIR2DS1,2,2,1.0,KIR,KIR2,0,1
KIR2DS4,4,4,1.0,KIR,KIR2,0,1
KIR3DL1,5,6,0.833,KIR,KIR3,0,1
KIR3DL2,17,20,0.85,KIR,KIR3,0,1
KIR3DL3,14,14,1.0,KIR,KIR3,0,1
KIR3DP1,9,14,0.643,KIR,KIR3,0,1
KIR3DS1,2,2,1.0,KIR,KIR3,0,1
KIR2DL1,10,10,1.0,KIR,KIR2,5,1
KIR2DL4,17,18,0.944,KIR,KIR2,5,1
KIR2DL5A,1,2,0.5,KIR,KIR2,5,1
KIR2DP1,8,8,1.0,KIR,KIR2,5,1
KIR2DS1,2,2,1.0,KIR,KIR2,5,1
KIR2DS4,4,4,1.0,KIR,KIR2,5,1
KIR3DL1,5,6,0.833,KIR,KIR3,5,1
KIR3DL2,17,20,0.85,KIR,KIR3,5,1
KIR3DL3,14,14,1.0,KIR,KIR3,5,1
KIR3DP1,9,14,0.643,KIR,KIR3,5,1
KIR3DS1,2,2,1.0,KIR,KIR3,5,1
KIR2DL1,10,10,1.0,KIR,KIR2,10,1
KIR2DL4,17,18,0.944,KIR,KIR2,10,1
KIR2DL5A,1,2,0.5,KIR,KIR2,10,1
KIR2DP1,8,8,1.0,KIR,KIR2,10,1
KIR2DS1,2,2,1.0,KIR,KIR2,10,1
KIR2DS4,4,4,1.0,KIR,KIR2,10,1
KIR3DL1,5,6,0.833,KIR,KIR3,10,1
KIR3DL2,17,20,0.85,KIR,KIR3,10,1
KIR3DL3,14,14,1.0,KIR,KIR3,10,1
KIR3DP1,5,8,0.625,KIR,KIR3,10,1
KIR3DS1,2,2,1.0,KIR,KIR3,10,1
KIR2DL1,10,10,1.0,KIR,KIR2,15,1
KIR2DL4,17,18,0.944,KIR,KIR2,15,1
KIR2DP1,8,8,1.0,KIR,KIR2,15,1
KIR2DS1,2,2,1.0,KIR,KIR2,15,1
KIR2DS4,4,4,1.0,KIR,KIR2,15,1
KIR3DL1,5,6,0.833,KIR,KIR3,15,1
KIR3DL2,17,20,0.85,KIR,KIR3,15,1
KIR3DL3,14,14,1.0,KIR,KIR3,15,1
KIR3DS1,2,2,1.0,KIR,KIR3,15,1
KIR2DL1,10,10,1.0,KIR,KIR2,20,1
KIR2DL4,15,16,0.938,KIR,KIR2,20,1
KIR2DP1,8,8,1.0,KIR,KIR2,20,1
KIR2DS1,2,2,1.0,KIR,KIR2,20,1
KIR2DS4,4,4,1.0,KIR,KIR2,20,1
KIR3DL1,5,6,0.833,KIR,KIR3,20,1
KIR3DL2,17,20,0.85,KIR,KIR3,20,1
KIR3DL3,14,14,1.0,KIR,KIR3,20,1
KIR3DS1,2,2,1.0,KIR,KIR3,20,1
