gene,correct,total,accuracy,class,subclass,cutoff,resolution
KIR2DL1,14,14,1.0,KIR,KIR2,0,2
KIR2DL3,6,6,1.0,KIR,KIR2,0,2
KIR2DL4,27,30,0.9,KIR,KIR2,0,2
KIR2DL5A,1,2,0.5,KIR,KIR2,0,2
KIR2DP1,11,12,0.917,KIR,KIR2,0,2
KIR2DS1,2,2,1.0,KIR,KIR2,0,2
KIR2DS4,6,6,1.0,KIR,KIR2,0,2
KIR3DL1,9,10,0.9,KIR,KIR3,0,2
KIR3DL2,25,28,0.893,KIR,KIR3,0,2
KIR3DL3,22,22,1.0,KIR,KIR3,0,2
KIR3DP1,13,18,0.722,KIR,KIR3,0,2
KIR3DS1,2,2,1.0,KIR,KIR3,0,2
KIR2DL1,14,14,1.0,KIR,KIR2,5,2
KIR2DL3,6,6,1.0,KIR,KIR2,5,2
KIR2DL4,27,30,0.9,KIR,KIR2,5,2
KIR2DL5A,1,2,0.5,KIR,KIR2,5,2
KIR2DP1,11,12,0.917,KIR,KIR2,5,2
KIR2DS1,2,2,1.0,KIR,KIR2,5,2
KIR2DS4,6,6,1.0,KIR,KIR2,5,2
KIR3DL1,9,10,0.9,KIR,KIR3,5,2
KIR3DL2,25,28,0.893,KIR,KIR3,5,2
KIR3DL3,22,22,1.0,KIR,KIR3,5,2
KIR3DP1,13,18,0.722,KIR,KIR3,5,2
KIR3DS1,2,2,1.0,KIR,KIR3,5,2
KIR2DL1,14,14,1.0,KIR,KIR2,10,2
KIR2DL3,6,6,1.0,KIR,KIR2,10,2
KIR2DL4,27,30,0.9,KIR,KIR2,10,2
KIR2DL5A,1,2,0.5,KIR,KIR2,10,2
KIR2DP1,11,12,0.917,KIR,KIR2,10,2
KIR2DS1,2,2,1.0,KIR,KIR2,10,2
KIR2DS4,6,6,1.0,KIR,KIR2,10,2
KIR3DL1,9,10,0.9,KIR,KIR3,10,2
KIR3DL2,25,28,0.893,KIR,KIR3,10,2
KIR3DL3,22,22,1.0,KIR,KIR3,10,2
KIR3DP1,7,10,0.7,KIR,KIR3,10,2
KIR3DS1,2,2,1.0,KIR,KIR3,10,2
KIR2DL1,14,14,1.0,KIR,KIR2,15,2
KIR2DL3,6,6,1.0,KIR,KIR2,15,2
KIR2DL4,27,30,0.9,KIR,KIR2,15,2
KIR2DP1,11,12,0.917,KIR,KIR2,15,2
KIR2DS1,2,2,1.0,KIR,KIR2,15,2
KIR2DS4,6,6,1.0,KIR,KIR2,15,2
KIR3DL1,9,10,0.9,KIR,KIR3,15,2
KIR3DL2,25,28,0.893,KIR,KIR3,15,2
KIR3DL3,22,22,1.0,KIR,KIR3,15,2
KIR3DP1,2,2,1.0,KIR,KIR3,15,2
KIR3DS1,2,2,1.0,KIR,KIR3,15,2
KIR2DL1,14,14,1.0,KIR,KIR2,20,2
KIR2DL3,6,6,1.0,KIR,KIR2,20,2
KIR2DL4,25,28,0.893,KIR,KIR2,20,2
KIR2DP1,11,12,0.917,KIR,KIR2,20,2
KIR2DS1,2,2,1.0,KIR,KIR2,20,2
KIR2DS4,6,6,1.0,KIR,KIR2,20,2
KIR3DL1,9,10,0.9,KIR,KIR3,20,2
KIR3DL2,25,28,0.893,KIR,KIR3,20,2
KIR3DL3,22,22,1.0,KIR,KIR3,20,2
KIR3DP1,2,2,1.0,KIR,KIR3,20,2
KIR3DS1,2,2,1.0,KIR,KIR3,20,2
