FID	IID	Population
HG00096	HG00096	EUR
HG00098	HG00098	EUR
HG00099	HG00099	EUR
HG00100	HG00100	EUR
HG00101	HG00101	EUR
HG00103	HG00103	EUR
HG00106	HG00106	EUR
HG00107	HG00107	EUR
HG00111	HG00111	EUR
HG00114	HG00114	EUR
HG00117	HG00117	EUR
HG00120	HG00120	EUR
HG00123	HG00123	EUR
HG00124	HG00124	EUR
HG00125	HG00125	EUR
HG00128	HG00128	EUR
HG00129	HG00129	EUR
HG00130	HG00130	EUR
HG00131	HG00131	EUR
HG00133	HG00133	EUR
HG00137	HG00137	EUR
HG00139	HG00139	EUR
HG00141	HG00141	EUR
HG00146	HG00146	EUR
HG00148	HG00148	EUR
HG00149	HG00149	EUR
HG00152	HG00152	EUR
HG00157	HG00157	EUR
HG00158	HG00158	EUR
HG00159	HG00159	EUR
HG00171	HG00171	EUR
HG00173	HG00173	EUR
HG00188	HG00188	EUR
HG00190	HG00190	EUR
HG00235	HG00235	EUR
HG00242	HG00242	EUR
HG00243	HG00243	EUR
HG00247	HG00247	EUR
HG00252	HG00252	EUR
HG00254	HG00254	EUR
HG00255	HG00255	EUR
HG00258	HG00258	EUR
HG00261	HG00261	EUR
HG00268	HG00268	EUR
HG00269	HG00269	EUR
HG00271	HG00271	EUR
HG00273	HG00273	EUR
HG00274	HG00274	EUR
HG00278	HG00278	EUR
HG00282	HG00282	EUR
HG00284	HG00284	EUR
HG00311	HG00311	EUR
HG00312	HG00312	EUR
HG00313	HG00313	EUR
HG00315	HG00315	EUR
HG00321	HG00321	EUR
HG00323	HG00323	EUR
HG00324	HG00324	EUR
HG00325	HG00325	EUR
HG00334	HG00334	EUR
HG00335	HG00335	EUR
HG00336	HG00336	EUR
HG00338	HG00338	EUR
HG00342	HG00342	EUR
HG00346	HG00346	EUR
HG00349	HG00349	EUR
HG00357	HG00357	EUR
HG00360	HG00360	EUR
HG00361	HG00361	EUR
HG00365	HG00365	EUR
HG00367	HG00367	EUR
HG00368	HG00368	EUR
HG00377	HG00377	EUR
HG00378	HG00378	EUR
HG00381	HG00381	EUR
HG00404	HG00404	EAS
HG00407	HG00407	EAS
HG00409	HG00409	EAS
HG00418	HG00418	EAS
HG00419	HG00419	EAS
HG00420	HG00420	EAS
HG00427	HG00427	EAS
HG00436	HG00436	EAS
HG00442	HG00442	EAS
HG00443	HG00443	EAS
HG00446	HG00446	EAS
HG00449	HG00449	EAS
HG00452	HG00452	EAS
HG00464	HG00464	EAS
HG00472	HG00472	EAS
HG00475	HG00475	EAS
HG00479	HG00479	EAS
HG00513	HG00513	EAS
HG00530	HG00530	EAS
HG00537	HG00537	EAS
HG00551	HG00551	AMR
HG00565	HG00565	EAS
HG00566	HG00566	EAS
HG00583	HG00583	EAS
HG00584	HG00584	EAS
HG00589	HG00589	EAS
HG00596	HG00596	EAS
