gene,correct,total,accuracy,class,subclass,cutoff
TRAV1-1,56,56,1.0,TRA,TRAV,0
TRAV1-2,56,56,1.0,TRA,TRAV,0
TRAV2,56,56,1.0,TRA,TRAV,0
TRAV3,56,56,1.0,TRA,TRAV,0
TRAV4,56,56,1.0,TRA,TRAV,0
TRAV5,56,56,1.0,TRA,TRAV,0
TRAV6,44,56,0.786,TRA,TRAV,0
TRAV7,56,56,1.0,TRA,TRAV,0
TRAV8-1,56,56,1.0,TRA,TRAV,0
TRAV9-1,56,56,1.0,TRA,TRAV,0
TRAV10,56,56,1.0,TRA,TRAV,0
TRAV11,56,56,1.0,TRA,TRAV,0
TRAV12-1,56,56,1.0,TRA,TRAV,0
TRAV8-2,56,56,1.0,TRA,TRAV,0
TRAV8-3,56,56,1.0,TRA,TRAV,0
TRAV13-1,56,56,1.0,TRA,TRAV,0
TRAV12-2,56,56,1.0,TRA,TRAV,0
TRAV8-4,54,56,0.964,TRA,TRAV,0
TRAV13-2,54,56,0.964,TRA,TRAV,0
TRAV9-2,54,56,0.964,TRA,TRAV,0
TRAV12-3,54,56,0.964,TRA,TRAV,0
TRAV8-6,54,56,0.964,TRA,TRAV,0
TRAV16,54,56,0.964,TRA,TRAV,0
TRAV17,54,54,1.0,TRA,TRAV,0
TRAV18,54,54,1.0,TRA,TRAV,0
TRAV19,50,50,1.0,TRA,TRAV,0
TRAV20,54,54,1.0,TRA,TRAV,0
TRAV21,54,54,1.0,TRA,TRAV,0
TRAV22,54,54,1.0,TRA,TRAV,0
TRDV1,54,54,1.0,TRD,TRDV,0
TRAV24,54,54,1.0,TRA,TRAV,0
TRAV25,54,54,1.0,TRA,TRAV,0
TRAV26-1,53,54,0.981,TRA,TRAV,0
TRAV8-7,54,54,1.0,TRA,TRAV,0
TRAV27,54,54,1.0,TRA,TRAV,0
TRAV30,54,54,1.0,TRA,TRAV,0
TRAV26-2,54,54,1.0,TRA,TRAV,0
TRAV34,54,54,1.0,TRA,TRAV,0
TRAV35,54,54,1.0,TRA,TRAV,0
TRAV38-1,52,54,0.963,TRA,TRAV,0
TRAV39,52,52,1.0,TRA,TRAV,0
TRAV40,52,52,1.0,TRA,TRAV,0
TRAV41,52,52,1.0,TRA,TRAV,0
TRDV2,52,52,1.0,TRD,TRDV,0
TRDV3,52,52,1.0,TRD,TRDV,0
TRDJ1,52,52,1.0,TRD,TRDJ,0
TRDJ4,26,26,1.0,TRD,TRDJ,0
TRDJ2,52,52,1.0,TRD,TRDJ,0
TRDJ3,48,48,1.0,TRD,TRDJ,0
TRAJ61,52,52,1.0,TRA,TRAJ,0
TRAJ60,52,52,1.0,TRA,TRAJ,0
TRAJ59,52,52,1.0,TRA,TRAJ,0
TRAJ58,52,52,1.0,TRA,TRAJ,0
TRAJ57,44,44,1.0,TRA,TRAJ,0
TRAJ56,52,52,1.0,TRA,TRAJ,0
TRAJ55,52,52,1.0,TRA,TRAJ,0
TRAJ54,48,48,1.0,TRA,TRAJ,0
TRAJ53,52,52,1.0,TRA,TRAJ,0
TRAJ52,50,50,1.0,TRA,TRAJ,0
TRAJ51,52,52,1.0,TRA,TRAJ,0
TRAJ50,52,52,1.0,TRA,TRAJ,0
TRAJ49,52,52,1.0,TRA,TRAJ,0
TRAJ48,52,52,1.0,TRA,TRAJ,0
TRAJ47,52,52,1.0,TRA,TRAJ,0
TRAJ46,52,52,1.0,TRA,TRAJ,0
TRAJ45,52,52,1.0,TRA,TRAJ,0
TRAJ44,46,46,1.0,TRA,TRAJ,0
TRAJ43,52,52,1.0,TRA,TRAJ,0
TRAJ42,52,52,1.0,TRA,TRAJ,0
TRAJ41,50,50,1.0,TRA,TRAJ,0
TRAJ40,52,52,1.0,TRA,TRAJ,0
TRAJ39,52,52,1.0,TRA,TRAJ,0
TRAJ38,48,48,1.0,TRA,TRAJ,0
TRAJ37,51,52,0.981,TRA,TRAJ,0
TRAJ36,52,52,1.0,TRA,TRAJ,0
TRAJ35,52,52,1.0,TRA,TRAJ,0
TRAJ34,52,52,1.0,TRA,TRAJ,0
TRAJ33,52,52,1.0,TRA,TRAJ,0
TRAJ32,50,52,0.962,TRA,TRAJ,0
TRAJ31,52,52,1.0,TRA,TRAJ,0
TRAJ30,52,52,1.0,TRA,TRAJ,0
TRAJ29,52,52,1.0,TRA,TRAJ,0
TRAJ28,52,52,1.0,TRA,TRAJ,0
TRAJ27,52,52,1.0,TRA,TRAJ,0
TRAJ26,52,52,1.0,TRA,TRAJ,0
TRAJ25,52,52,1.0,TRA,TRAJ,0
TRAJ24,52,52,1.0,TRA,TRAJ,0
TRAJ23,52,52,1.0,TRA,TRAJ,0
TRAJ22,52,52,1.0,TRA,TRAJ,0
TRAJ21,52,52,1.0,TRA,TRAJ,0
TRAJ20,52,52,1.0,TRA,TRAJ,0
TRAJ19,50,50,1.0,TRA,TRAJ,0
TRAJ18,50,50,1.0,TRA,TRAJ,0
TRAJ17,50,50,1.0,TRA,TRAJ,0
TRAJ16,51,52,0.981,TRA,TRAJ,0
TRAJ14,52,52,1.0,TRA,TRAJ,0
