gene,correct,total,accuracy,class,subclass,cutoff
TRAV1-1,38,38,1.0,TRA,TRAV,0
TRAV1-2,38,38,1.0,TRA,TRAV,0
TRAV2,38,38,1.0,TRA,TRAV,0
TRAV3,38,38,1.0,TRA,TRAV,0
TRAV4,38,38,1.0,TRA,TRAV,0
TRAV5,38,38,1.0,TRA,TRAV,0
TRAV6,33,38,0.868,TRA,TRAV,0
TRAV7,38,38,1.0,TRA,TRAV,0
TRAV8-1,38,38,1.0,TRA,TRAV,0
TRAV9-1,38,38,1.0,TRA,TRAV,0
TRAV10,38,38,1.0,TRA,TRAV,0
TRAV11,38,38,1.0,TRA,TRAV,0
TRAV12-1,38,38,1.0,TRA,TRAV,0
TRAV8-2,38,38,1.0,TRA,TRAV,0
TRAV8-3,38,38,1.0,TRA,TRAV,0
TRAV13-1,38,38,1.0,TRA,TRAV,0
TRAV12-2,38,38,1.0,TRA,TRAV,0
TRAV8-4,38,38,1.0,TRA,TRAV,0
TRAV13-2,38,38,1.0,TRA,TRAV,0
TRAV9-2,38,38,1.0,TRA,TRAV,0
TRAV12-3,38,38,1.0,TRA,TRAV,0
TRAV8-6,38,38,1.0,TRA,TRAV,0
TRAV16,38,38,1.0,TRA,TRAV,0
TRAV17,38,38,1.0,TRA,TRAV,0
TRAV18,38,38,1.0,TRA,TRAV,0
TRAV19,26,26,1.0,TRA,TRAV,0
TRAV20,38,38,1.0,TRA,TRAV,0
TRAV21,38,38,1.0,TRA,TRAV,0
TRAV22,38,38,1.0,TRA,TRAV,0
TRDV1,38,38,1.0,TRD,TRDV,0
TRAV24,38,38,1.0,TRA,TRAV,0
TRAV25,36,36,1.0,TRA,TRAV,0
TRAV26-1,38,38,1.0,TRA,TRAV,0
TRAV8-7,38,38,1.0,TRA,TRAV,0
TRAV27,38,38,1.0,TRA,TRAV,0
TRAV30,38,38,1.0,TRA,TRAV,0
TRAV26-2,38,38,1.0,TRA,TRAV,0
TRAV34,38,38,1.0,TRA,TRAV,0
TRAV35,38,38,1.0,TRA,TRAV,0
TRAV38-1,38,38,1.0,TRA,TRAV,0
TRAV39,38,38,1.0,TRA,TRAV,0
TRAV40,38,38,1.0,TRA,TRAV,0
TRAV41,38,38,1.0,TRA,TRAV,0
TRDV2,38,38,1.0,TRD,TRDV,0
TRDV3,38,38,1.0,TRD,TRDV,0
TRDJ1,38,38,1.0,TRD,TRDJ,0
TRDJ4,20,20,1.0,TRD,TRDJ,0
TRDJ2,38,38,1.0,TRD,TRDJ,0
TRDJ3,38,38,1.0,TRD,TRDJ,0
TRAJ61,38,38,1.0,TRA,TRAJ,0
TRAJ60,38,38,1.0,TRA,TRAJ,0
TRAJ59,38,38,1.0,TRA,TRAJ,0
TRAJ58,38,38,1.0,TRA,TRAJ,0
TRAJ57,28,28,1.0,TRA,TRAJ,0
TRAJ56,38,38,1.0,TRA,TRAJ,0
TRAJ55,38,38,1.0,TRA,TRAJ,0
TRAJ54,38,38,1.0,TRA,TRAJ,0
TRAJ53,32,32,1.0,TRA,TRAJ,0
TRAJ52,36,36,1.0,TRA,TRAJ,0
TRAJ51,38,38,1.0,TRA,TRAJ,0
TRAJ50,38,38,1.0,TRA,TRAJ,0
TRAJ49,38,38,1.0,TRA,TRAJ,0
TRAJ48,38,38,1.0,TRA,TRAJ,0
TRAJ47,36,36,1.0,TRA,TRAJ,0
TRAJ46,38,38,1.0,TRA,TRAJ,0
TRAJ45,38,38,1.0,TRA,TRAJ,0
TRAJ44,38,38,1.0,TRA,TRAJ,0
TRAJ43,38,38,1.0,TRA,TRAJ,0
TRAJ42,38,38,1.0,TRA,TRAJ,0
TRAJ41,34,34,1.0,TRA,TRAJ,0
TRAJ40,38,38,1.0,TRA,TRAJ,0
TRAJ39,38,38,1.0,TRA,TRAJ,0
TRAJ38,34,34,1.0,TRA,TRAJ,0
TRAJ37,38,38,1.0,TRA,TRAJ,0
TRAJ36,38,38,1.0,TRA,TRAJ,0
TRAJ35,38,38,1.0,TRA,TRAJ,0
TRAJ34,38,38,1.0,TRA,TRAJ,0
TRAJ33,38,38,1.0,TRA,TRAJ,0
TRAJ32,38,38,1.0,TRA,TRAJ,0
TRAJ31,38,38,1.0,TRA,TRAJ,0
TRAJ30,38,38,1.0,TRA,TRAJ,0
TRAJ29,38,38,1.0,TRA,TRAJ,0
TRAJ28,38,38,1.0,TRA,TRAJ,0
TRAJ27,38,38,1.0,TRA,TRAJ,0
TRAJ26,38,38,1.0,TRA,TRAJ,0
TRAJ25,38,38,1.0,TRA,TRAJ,0
TRAJ24,38,38,1.0,TRA,TRAJ,0
TRAJ23,38,38,1.0,TRA,TRAJ,0
TRAJ22,38,38,1.0,TRA,TRAJ,0
TRAJ21,34,34,1.0,TRA,TRAJ,0
TRAJ20,38,38,1.0,TRA,TRAJ,0
TRAJ19,32,32,1.0,TRA,TRAJ,0
TRAJ18,38,38,1.0,TRA,TRAJ,0
TRAJ17,32,32,1.0,TRA,TRAJ,0
TRAJ16,37,38,0.974,TRA,TRAJ,0
TRAJ14,38,38,1.0,TRA,TRAJ,0
TRAJ13,38,38,1.0,TRA,TRAJ,0
TRAJ12,38,38,1.0,TRA,TRAJ,0
TRAJ11,38,38,1.0,TRA,TRAJ,0
TRAJ10,38,38,1.0,TRA,TRAJ,0
TRAJ9,38,38,1.0,TRA,TRAJ,0
TRAJ8,38,38,1.0,TRA,TRAJ,0
TRAJ7,38,38,1.0,TRA,TRAJ,0
TRAJ6,38,38,1.0,TRA,TRAJ,0
TRAJ5,32,32,1.0,TRA,TRAJ,0
TRAJ4,38,38,1.0,TRA,TRAJ,0
TRAJ3,34,34,1.0,TRA,TRAJ,0
TRAJ2,38,38,1.0,TRA,TRAJ,0
TRAJ1,32,32,1.0,TRA,TRAJ,0
TRGJ2,36,36,1.0,TRG,TRGJ,0
TRGJP2,32,32,1.0,TRG,TRGJ,0
TRGJ1,38,38,1.0,TRG,TRGJ,0
TRGJP,34,34,1.0,TRG,TRGJ,0
TRGJP1,38,38,1.0,TRG,TRGJ,0
TRGV11,38,38,1.0,TRG,TRGV,0
TRGV10,38,38,1.0,TRG,TRGV,0
TRGV9,38,38,1.0,TRG,TRGV,0
TRGVA,30,30,1.0,TRG,TRGV,0
TRGV8,38,38,1.0,TRG,TRGV,0
TRGV5P,32,32,1.0,TRG,TRGV,0
TRGV5,30,30,1.0,TRG,TRGV,0
TRGV4,20,20,1.0,TRG,TRGV,0
TRGV3,36,36,1.0,TRG,TRGV,0
TRGV2,34,34,1.0,TRG,TRGV,0
TRGV1,36,36,1.0,TRG,TRGV,0
TRBV1,38,38,1.0,TRB,TRBV,0
TRBV2,38,38,1.0,TRB,TRBV,0
TRBV3-1,38,38,1.0,TRB,TRBV,0
TRBV4-1,38,38,1.0,TRB,TRBV,0
TRBV5-1,38,38,1.0,TRB,TRBV,0
TRBV6-1,38,38,1.0,TRB,TRBV,0
TRBV7-1,38,38,1.0,TRB,TRBV,0
TRBV4-2,38,38,1.0,TRB,TRBV,0
TRBV6-2,38,38,1.0,TRB,TRBV,0
TRBV7-2,38,38,1.0,TRB,TRBV,0
