Gene,Gene_Group,Gene_Group2,Hete,Homo,Hete_freq
TRAV1-1,TRA,TR,272,552,0.3300970873786408
TRAV1-2,TRA,TR,239,583,0.29075425790754256
TRAV2,TRA,TR,0,844,0.0
TRAV3,TRA,TR,0,835,0.0
TRAV4,TRA,TR,0,833,0.0
TRAV5,TRA,TR,0,833,0.0
TRAV6,TRA,TR,412,417,0.4969843184559711
TRAV7,TRA,TR,0,832,0.0
TRAV8-1,TRA,TR,0,827,0.0
TRAV9-1,TRA,TR,0,841,0.0
TRAV10,TRA,TR,101,726,0.12212817412333736
TRAV11,TRA,TR,0,818,0.0
TRAV12-1,TRA,TR,0,843,0.0
TRAV8-2,TRA,TR,293,527,0.3573170731707317
TRAV8-3,TRA,TR,335,496,0.40312876052948254
TRAV13-1,TRA,TR,316,520,0.37799043062200954
TRAV12-2,TRA,TR,469,357,0.5677966101694916
TRAV8-4,TRA,TR,317,498,0.3889570552147239
TRAV13-2,TRA,TR,0,827,0.0
TRAV9-2,TRA,TR,418,426,0.495260663507109
TRAV12-3,TRA,TR,0,845,0.0
TRAV8-6,TRA,TR,262,577,0.31227651966626935
TRAV16,TRA,TR,0,838,0.0
TRAV17,TRA,TR,0,828,0.0
TRAV18,TRA,TR,0,831,0.0
TRAV19,TRA,TR,0,826,0.0
TRAV20,TRA,TR,40,782,0.04866180048661801
TRAV21,TRA,TR,346,512,0.40326340326340326
TRAV22,TRA,TR,0,833,0.0
TRDV1,TRD,TR,0,839,0.0
TRAV24,TRA,TR,0,839,0.0
TRAV25,TRA,TR,0,848,0.0
TRAV26-1,TRA,TR,210,649,0.24447031431897556
TRAV8-7,TRA,TR,326,515,0.3876337693222354
TRAV27,TRA,TR,115,731,0.1359338061465721
TRAV30,TRA,TR,245,574,0.29914529914529914
TRAV26-2,TRA,TR,1,845,0.001182033096926714
TRAV34,TRA,TR,0,849,0.0
TRAV35,TRA,TR,199,657,0.2324766355140187
TRAV38-1,TRA,TR,339,518,0.39556592765460913
TRAV39,TRA,TR,0,844,0.0
TRAV40,TRA,TR,0,853,0.0
TRAV41,TRA,TR,0,842,0.0
TRDV2,TRD,TR,364,462,0.4406779661016949
TRDD1,TRD,TR,0,858,0.0
TRDD2,TRD,TR,0,840,0.0
TRDD3,TRD,TR,0,811,0.0
TRDJ1,TRD,TR,0,821,0.0
TRDJ4,TRD,TR,0,818,0.0
TRDJ2,TRD,TR,0,832,0.0
TRDJ3,TRD,TR,0,791,0.0
TRDV3,TRD,TR,108,730,0.1288782816229117
TRAJ61,TRA,TR,0,779,0.0
TRAJ60,TRA,TR,0,800,0.0
TRAJ59,TRA,TR,0,816,0.0
TRAJ58,TRA,TR,0,799,0.0
TRAJ57,TRA,TR,0,554,0.0
TRAJ56,TRA,TR,0,801,0.0
TRAJ55,TRA,TR,0,792,0.0
TRAJ54,TRA,TR,0,788,0.0
TRAJ53,TRA,TR,0,786,0.0
TRAJ52,TRA,TR,0,794,0.0
TRAJ51,TRA,TR,0,779,0.0
TRAJ50,TRA,TR,0,791,0.0
TRAJ49,TRA,TR,0,778,0.0
TRAJ48,TRA,TR,0,788,0.0
TRAJ47,TRA,TR,262,501,0.34338138925294887
TRAJ46,TRA,TR,0,782,0.0
TRAJ45,TRA,TR,0,783,0.0
TRAJ44,TRA,TR,0,599,0.0
TRAJ43,TRA,TR,0,787,0.0
TRAJ42,TRA,TR,0,781,0.0
TRAJ41,TRA,TR,0,764,0.0
TRAJ40,TRA,TR,0,822,0.0
TRAJ39,TRA,TR,0,816,0.0
TRAJ38,TRA,TR,0,721,0.0
TRAJ37,TRA,TR,297,529,0.3595641646489104
TRAJ36,TRA,TR,0,802,0.0
TRAJ35,TRA,TR,0,782,0.0
TRAJ34,TRA,TR,0,780,0.0
TRAJ33,TRA,TR,0,802,0.0
TRAJ32,TRA,TR,40,744,0.05102040816326531
TRAJ31,TRA,TR,0,801,0.0
TRAJ30,TRA,TR,0,828,0.0
TRAJ29,TRA,TR,0,827,0.0
TRAJ28,TRA,TR,0,754,0.0
TRAJ27,TRA,TR,0,818,0.0
TRAJ26,TRA,TR,0,824,0.0
TRAJ25,TRA,TR,0,832,0.0
TRAJ24,TRA,TR,188,614,0.2344139650872818
TRAJ23,TRA,TR,0,826,0.0
TRAJ22,TRA,TR,0,826,0.0
TRAJ21,TRA,TR,0,828,0.0
TRAJ20,TRA,TR,0,819,0.0
TRAJ19,TRA,TR,0,741,0.0
TRAJ18,TRA,TR,0,795,0.0
TRAJ17,TRA,TR,0,812,0.0
TRAJ16,TRA,TR,225,598,0.2733900364520049
TRAJ14,TRA,TR,0,816,0.0
TRAJ13,TRA,TR,219,589,0.27103960396039606
TRAJ12,TRA,TR,0,741,0.0
TRAJ11,TRA,TR,0,812,0.0
TRAJ10,TRA,TR,0,793,0.0
TRAJ9,TRA,TR,0,797,0.0
TRAJ8,TRA,TR,144,678,0.17518248175182483
TRAJ7,TRA,TR,0,823,0.0
TRAJ6,TRA,TR,0,829,0.0
TRAJ5,TRA,TR,0,798,0.0
TRAJ4,TRA,TR,0,836,0.0
TRAJ3,TRA,TR,0,758,0.0
TRAJ1,TRA,TR,0,751,0.0
IGHJ6,IGH,IG,36,117,0.23529411764705882
IGHD2-2,IGH,IG,7,59,0.10606060606060606
IGHD1-1,IGH,IG,0,97,0.0
IGHV1-2,IGH,IG,40,110,0.26666666666666666
IGHV1-3,IGH,IG,43,141,0.23369565217391305
IGHV2-5,IGH,IG,36,182,0.1651376146788991
IGHV3-7,IGH,IG,52,163,0.24186046511627907
IGHV5-10-1,IGH,IG,7,49,0.125
IGHV3-11,IGH,IG,62,106,0.36904761904761907
IGHV3-13,IGH,IG,97,199,0.3277027027027027
IGHV3-16,IGH,IG,71,273,0.2063953488372093
IGHV3-19,IGH,IG,29,347,0.07712765957446809
IGHV3-23,IGH,IG,101,459,0.18035714285714285
IGHV1-24,IGH,IG,0,477,0.0
IGHV3-25,IGH,IG,211,280,0.42973523421588594
IGHV2-26,IGH,IG,71,428,0.14228456913827656
IGHV4-28,IGH,IG,181,295,0.3802521008403361
IGHV3-30,IGH,IG,265,321,0.4522184300341297
IGHV3-30-2,IGH,IG,338,277,0.5495934959349593
IGHV3-33,IGH,IG,165,219,0.4296875
IGHV3-33-2,IGH,IG,0,600,0.0
IGHV4-34,IGH,IG,6,577,0.010291595197255575
IGHV7-34-1,IGH,IG,114,511,0.1824
IGHV3-35,IGH,IG,110,514,0.1762820512820513
IGHV3-38,IGH,IG,106,352,0.2314410480349345
IGHV4-39,IGH,IG,80,289,0.21680216802168023
IGHV7-40,IGH,IG,6,417,0.014184397163120567
IGHV3-41,IGH,IG,0,585,0.0
IGHV3-43,IGH,IG,93,342,0.21379310344827587
IGHV1-45,IGH,IG,121,596,0.16875871687587168
IGHV1-46,IGH,IG,141,556,0.20229555236728838
IGHV3-47,IGH,IG,284,394,0.41887905604719766
IGHV3-48,IGH,IG,400,285,0.583941605839416
IGHV3-49,IGH,IG,358,353,0.5035161744022504
IGHV5-51,IGH,IG,175,545,0.24305555555555555
IGHV8-51-1,IGH,IG,389,324,0.5455820476858345
IGHV3-52,IGH,IG,112,603,0.15664335664335666
IGHV3-53,IGH,IG,361,327,0.5247093023255814
IGHV4-55,IGH,IG,271,451,0.37534626038781166
IGHV1-58,IGH,IG,259,487,0.34718498659517427
IGHV4-59,IGH,IG,96,649,0.12885906040268458
IGHV4-61,IGH,IG,102,238,0.3
IGHV3-62,IGH,IG,296,454,0.39466666666666667
IGHV3-63,IGH,IG,305,497,0.3802992518703242
IGHV3-64,IGH,IG,268,513,0.34314980793854033
IGHV3-66,IGH,IG,331,347,0.4882005899705015
IGHV1-68,IGH,IG,224,426,0.3446153846153846
IGHV1-69D,IGH,IG,25,246,0.09225092250922509
IGHV2-70,IGH,IG,280,284,0.49645390070921985
IGHV3-71,IGH,IG,428,345,0.553686934023286
IGHV3-72,IGH,IG,0,793,0.0
IGHV3-73,IGH,IG,340,490,0.40963855421686746
IGHV3-74,IGH,IG,39,795,0.046762589928057555
IGHV5-78,IGH,IG,0,858,0.0
IGHV7-81,IGH,IG,116,806,0.12581344902386118
IGKJ5,IGK,IG,0,180,0.0
IGKJ4,IGK,IG,0,143,0.0
IGKJ3,IGK,IG,0,97,0.0
IGKV4-1,IGK,IG,6,92,0.061224489795918366
IGKV1-5,IGK,IG,28,128,0.1794871794871795
IGKV1-9,IGK,IG,53,161,0.24766355140186916
IGKV3-11,IGK,IG,0,242,0.0
IGKV1-12,IGK,IG,0,612,0.0
IGKV1-13,IGK,IG,275,297,0.4807692307692308
IGKV1-16,IGK,IG,0,340,0.0
IGKV1-17,IGK,IG,95,248,0.27696793002915454
IGKV2-18,IGK,IG,0,388,0.0
IGKV3-20,IGK,IG,0,408,0.0
IGKV6-21,IGK,IG,104,368,0.22033898305084745
IGKV2-24,IGK,IG,99,368,0.21199143468950749
IGKV1-27,IGK,IG,128,403,0.24105461393596986
IGKV2-28,IGK,IG,0,559,0.0
IGKV2-29,IGK,IG,187,403,0.3169491525423729
IGKV2-30,IGK,IG,170,453,0.27287319422150885
IGKV1-33,IGK,IG,0,615,0.0
IGKV1-37,IGK,IG,0,462,0.0
IGKV1-39,IGK,IG,2,444,0.004484304932735426
IGKV2D-40,IGK,IG,0,862,0.0
IGKV1D-39,IGK,IG,0,787,0.0
IGKV1D-37,IGK,IG,0,814,0.0
IGKV1D-33,IGK,IG,0,724,0.0
IGKV2D-30,IGK,IG,0,697,0.0
IGKV2D-29,IGK,IG,213,477,0.30869565217391304
IGKV2D-28,IGK,IG,0,702,0.0
IGKV2D-26,IGK,IG,2,705,0.002828854314002829
IGKV2D-24,IGK,IG,0,690,0.0
IGKV6D-21,IGK,IG,0,723,0.0
IGKV3D-20,IGK,IG,0,718,0.0
IGKV2D-18,IGK,IG,0,741,0.0
IGKV6D-41,IGK,IG,0,712,0.0
IGKV1D-17,IGK,IG,0,728,0.0
IGKV1D-16,IGK,IG,42,671,0.05890603085553997
IGKV3D-15,IGK,IG,210,505,0.2937062937062937
IGKV3D-11,IGK,IG,254,467,0.3522884882108183
IGKV1D-42,IGK,IG,162,548,0.22816901408450704
IGKV1D-43,IGK,IG,0,677,0.0
IGKV1D-8,IGK,IG,157,432,0.266553480475382
IGKV3D-7,IGK,IG,0,628,0.0
IGLV4-69,IGL,IG,0,802,0.0
IGLV1-62,IGL,IG,0,804,0.0
IGLV8-61,IGL,IG,230,569,0.2878598247809762
IGLV4-60,IGL,IG,73,711,0.09311224489795919
IGLV6-57,IGL,IG,409,350,0.538866930171278
IGLV11-55,IGL,IG,300,461,0.39421813403416556
IGLV10-54,IGL,IG,428,338,0.5587467362924282
IGLV5-52,IGL,IG,0,783,0.0
IGLV1-51,IGL,IG,169,611,0.21666666666666667
IGLV1-50,IGL,IG,0,770,0.0
IGLV9-49,IGL,IG,0,734,0.0
IGLV5-48,IGL,IG,176,570,0.2359249329758713
IGLV1-47,IGL,IG,122,621,0.1641991924629879
IGLV7-46,IGL,IG,316,407,0.43706777316735823
IGLV5-45,IGL,IG,379,372,0.5046604527296937
